,lemmatised_Luke
1407,keeping
1408,night
1409,watch
1410,flock
1411,.
1412,2:9
1413,.
1414,behold
1415,angel
1416,Lord
1417,stood
1418,brightness
1419,God
1420,shone
1421,round
1422,:
1423,feared
1424,great
1425,fear
1426,.
1427,2:10
1428,.
1429,angel
1430,said
1431,:
1432,Fear
1433,;
1434,","
1435,behold
1436,","
1437,bring
1438,good
1439,tidings
1440,great
1441,joy
1442,shall
1443,people
1444,:
1445,2:11
1446,.
1447,","
1448,day
1449,born
1450,Saviour
1451,","
1452,Christ
1453,Lord
1454,","
1455,city
1456,David
1457,.
1458,2:12
1459,.
1460,shall
1461,sign
1462,unto
1463,.
1464,shall
1465,find
1466,infant
1467,wrapped
1468,swaddling
1469,clothes
1470,laid
1471,manger
1472,.
1473,2:13
1474,.
1475,suddenly
1476,angel
1477,multitude
1478,heavenly
1479,army
1480,","
1481,praising
1482,God
1483,saying
1484,:
1485,2:14
1486,.
1487,Glory
1488,God
1489,highest
1490,:
1491,earth
1492,peace
1493,men
1494,good
1495,.
1496,2:15
1497,.
1498,came
1499,pas
1500,","
1501,angel
1502,departed
1503,heaven
1504,","
1505,shepherd
1506,said
1507,one
1508,another
1509,:
1510,Let
1511,u
1512,go
1513,Bethlehem
1514,let
1515,u
1516,see
1517,word
1518,come
1519,pas
1520,","
1521,Lord
1522,hath
1523,shewed
1524,u
1525,.
1526,2:16
1527,.
1528,came
1529,haste
1530,:
1531,found
1532,Mary
1533,Joseph
1534,","
1535,infant
1536,lying
1537,manger
1538,.
1539,2:17
1540,.
1541,seeing
1542,","
1543,understood
1544,word
1545,spoken
1546,concerning
1547,child
1548,.
1549,2:18
1550,.
1551,heard
1552,wondered
1553,:
1554,thing
1555,told
1556,shepherd
1557,.
1558,2:19
1559,.
1560,Mary
1561,kept
1562,word
1563,","
1564,pondering
1565,heart
1566,.
1567,2:20
1568,.
1569,shepherd
1570,returned
1571,","
1572,glorifying
1573,praising
1574,God
1575,thing
1576,heard
1577,seen
1578,","
1579,told
1580,unto
1581,.
1582,2:21
1583,.
1584,eight
1585,day
1586,accomplished
1587,","
1588,child
1589,circumcised
1590,","
1591,name
1592,called
1593,JESUS
1594,","
1595,called
1596,angel
1597,conceived
1598,womb
1599,.
1600,2:22
1601,.
1602,day
1603,purification
1604,","
1605,according
1606,law
1607,Moses
1608,","
1609,accomplished
1610,","
1611,carried
1612,Jerusalem
1613,","
1614,present
1615,Lord
1616,:
1617,2:23
1618,.
1619,written
1620,law
1621,Lord
1622,:
1623,Every
1624,male
1625,opening
1626,womb
1627,shall
1628,called
1629,holy
1630,Lord
1631,:
1632,2:24
1633,.
1634,offer
1635,sacrifice
1636,","
1637,according
1638,written
1639,law
1640,Lord
1641,","
1642,pair
1643,turtledove
1644,two
1645,young
1646,pigeon
1647,:
1648,2:25
1649,.
1650,behold
1651,man
1652,Jerusalem
1653,named
1654,Simeon
1655,:
1656,man
1657,devout
1658,","
1659,waiting
1660,consolation
1661,Israel
1662,.
1663,Holy
1664,Ghost
1665,.
1666,2:26
1667,.
1668,received
1669,answer
1670,Holy
1671,Ghost
1672,","
1673,see
1674,death
1675,seen
1676,Christ
1677,Lord
1678,.
1679,2:27
1680,.
1681,came
1682,Spirit
1683,temple
1684,.
1685,parent
1686,brought
1687,child
1688,Jesus
1689,","
1690,according
1691,custom
1692,law
1693,","
1694,2:28
1695,.
1696,also
1697,took
1698,arm
1699,blessed
1700,God
1701,said
1702,2:29
1703,.
1704,thou
1705,dost
1706,dismiss
1707,thy
1708,servant
1709,","
1710,Lord
1711,","
1712,according
1713,thy
1714,word
1715,peace
1716,:
1717,2:30
1718,.
1719,eye
1720,seen
1721,thy
1722,salvation
1723,","
1724,2:31
1725,.
1726,thou
1727,hast
1728,prepared
1729,face
1730,people
1731,:
1732,2:32
1733,.
1734,light
1735,revelation
1736,Gentiles
1737,glory
1738,thy
1739,people
1740,Israel
1741,.
1742,2:33
1743,.
1744,father
1745,mother
1746,wondering
1747,thing
1748,spoken
1749,concerning
1750,.
1751,2:34
1752,.
1753,Simeon
1754,blessed
1755,said
1756,Mary
1757,mother
1758,:
1759,Behold
1760,child
1761,set
1762,fall
1763,resurrection
1764,many
1765,Israel
1766,sign
1767,shall
1768,contradicted
1769,.
1770,fall
1771,","
1772,etc
1773,....
1774,Christ
1775,came
1776,salvation
1777,men
1778,;
1779,Simeon
1780,prophesies
1781,would
1782,come
1783,pas
1784,","
1785,many
1786,wilful
1787,blindness
1788,obstinacy
1789,would
1790,believe
1791,Christ
1792,","
1793,receive
1794,doctrine
1795,","
1796,therefore
1797,would
1798,ruin
1799,:
1800,others
1801,resurrection
1802,","
1803,believing
1804,","
1805,obeying
1806,commandment
1807,.
1808,2:35
1809,.
1810,thy
1811,soul
1812,sword
1813,shall
1814,pierce
1815,","
1816,","
1817,many
1818,heart
1819,thought
1820,may
1821,revealed
1822,.
1823,2:36
1824,.
1825,one
1826,Anna
1827,","
1828,prophetess
1829,","
1830,daughter
1831,Phanuel
1832,","
1833,tribe
1834,Aser
1835,.
1836,far
1837,advanced
1838,year
1839,lived
1840,husband
1841,seven
1842,year
1843,virginity
1844,.
1845,2:37
1846,.
1847,widow
1848,fourscore
1849,four
1850,year
1851,:
1852,departed
1853,temple
1854,","
1855,fasting
1856,prayer
1857,serving
1858,night
1859,day
1860,.
1861,2:38
1862,.
1863,","
1864,hour
1865,","
1866,coming
1867,","
1868,confessed
1869,Lord
1870,:
1871,spoke
1872,looked
1873,redemption
1874,Israel
1875,.
1876,2:39
1877,.
1878,performed
1879,thing
1880,according
1881,law
1882,Lord
1883,","
1884,returned
1885,Galilee
1886,","
1887,city
1888,Nazareth
1889,.
1890,2:40
1891,.
1892,child
1893,grew
1894,waxed
1895,strong
1896,","
1897,full
1898,wisdom
1899,:
1900,grace
1901,God
1902,.
1903,2:41
1904,.
1905,parent
1906,went
1907,every
1908,year
1909,Jerusalem
1910,","
1911,solemn
1912,day
1913,pasch
1914,.
1915,2:42
1916,.
1917,twelve
1918,year
1919,old
1920,","
1921,going
1922,Jerusalem
1923,","
1924,according
1925,custom
1926,feast
1927,","
1928,2:43
1929,.
1930,fulfilled
1931,day
1932,","
1933,returned
1934,","
1935,child
1936,Jesus
1937,remained
1938,Jerusalem
1939,.
1940,parent
1941,knew
1942,.
1943,2:44
1944,.
1945,thinking
1946,company
1947,","
1948,came
1949,day
1950,’
1951,journey
1952,sought
1953,among
1954,kinsfolk
1955,acquaintance
1956,.
1957,2:45
1958,.
1959,finding
1960,","
1961,returned
1962,Jerusalem
1963,","
1964,seeking
1965,.
1966,2:46
1967,.
1968,came
1969,pas
1970,","
1971,","
1972,three
1973,day
1974,","
1975,found
1976,temple
1977,","
1978,sitting
1979,midst
1980,doctor
1981,","
1982,hearing
1983,asking
1984,question
1985,.
1986,2:47
