,lemmatised_Matthew
1257,tell
1258,God
1259,able
1260,stone
1261,raise
1262,child
1263,Abraham
1264,.
1265,3:10
1266,.
1267,axe
1268,laid
1269,root
1270,tree
1271,.
1272,Every
1273,tree
1274,therefore
1275,doth
1276,yield
1277,good
1278,fruit
1279,","
1280,shall
1281,cut
1282,","
1283,cast
1284,fire
1285,.
1286,3:11
1287,.
1288,indeed
1289,baptize
1290,water
1291,unto
1292,penance
1293,","
1294,shall
1295,come
1296,","
1297,mightier
1298,","
1299,whose
1300,shoe
1301,worthy
1302,bear
1303,:
1304,shall
1305,baptize
1306,Holy
1307,Ghost
1308,fire
1309,.
1310,3:12
1311,.
1312,Whose
1313,fan
1314,hand
1315,","
1316,thoroughly
1317,cleanse
1318,floor
1319,gather
1320,wheat
1321,barn
1322,;
1323,chaff
1324,burn
1325,unquenchable
1326,fire
1327,.
1328,3:13
1329,.
1330,cometh
1331,Jesus
1332,Galilee
1333,Jordan
1334,","
1335,unto
1336,John
1337,","
1338,baptized
1339,.
1340,3:14
1341,.
1342,John
1343,stayed
1344,","
1345,saying
1346,:
1347,ought
1348,baptized
1349,thee
1350,","
1351,comest
1352,thou
1353,?
1354,3:15
1355,.
1356,Jesus
1357,answering
1358,","
1359,said
1360,:
1361,Suffer
1362,.
1363,becometh
1364,u
1365,fulfil
1366,justice
1367,.
1368,suffered
1369,.
1370,3:16
1371,.
1372,Jesus
1373,baptized
1374,","
1375,forthwith
1376,came
1377,water
1378,:
1379,lo
1380,","
1381,heaven
1382,opened
1383,:
1384,saw
1385,Spirit
1386,God
1387,descending
1388,dove
1389,","
1390,coming
1391,upon
1392,.
1393,3:17
1394,.
1395,behold
1396,voice
1397,heaven
1398,saying
1399,:
1400,beloved
1401,Son
1402,","
1403,well
1404,pleased
1405,.
1406,Matthew
1407,Chapter
1408,4
1409,Christ
1410,’
1411,fast
1412,forty
1413,day
1414,:
1415,tempted
1416,.
1417,begin
1418,preach
1419,","
1420,call
1421,disciple
1422,","
1423,work
1424,miracle
1425,.
1426,4:1
1427,.
1428,Jesus
1429,led
1430,spirit
1431,desert
1432,","
1433,tempted
1434,devil
1435,.
1436,4:2
1437,.
1438,fasted
1439,forty
1440,day
1441,forty
1442,night
1443,","
1444,afterwards
1445,hungry
1446,.
1447,4:3
1448,.
1449,tempter
1450,coming
1451,said
1452,:
1453,thou
1454,Son
1455,God
1456,","
1457,command
1458,stone
1459,made
1460,bread
1461,.
1462,4:4.
1463,answered
1464,said
1465,:
1466,written
1467,","
1468,bread
1469,alone
1470,doth
1471,man
1472,live
1473,","
1474,every
1475,word
1476,proceedeth
1477,mouth
1478,God
1479,.
1480,4:5
1481,.
1482,devil
1483,took
1484,holy
1485,city
1486,","
1487,set
1488,upon
1489,pinnacle
1490,temple
1491,","
1492,4:6
1493,.
1494,said
1495,:
1496,thou
1497,Son
1498,God
1499,","
1500,cast
1501,thyself
1502,","
1503,written
1504,:
1505,hath
1506,given
1507,angel
1508,charge
1509,thee
1510,","
1511,hand
1512,shall
1513,bear
1514,thee
1515,","
1516,lest
1517,perhaps
1518,thou
1519,dash
1520,thy
1521,foot
1522,stone
1523,.
1524,4:7
1525,.
1526,Jesus
1527,said
1528,:
1529,written
1530,:
1531,Thou
1532,shalt
1533,tempt
1534,Lord
1535,thy
1536,God
1537,.
1538,4:8
1539,.
1540,devil
1541,took
1542,high
1543,mountain
1544,","
1545,shewed
1546,kingdom
1547,world
1548,","
1549,glory
1550,","
1551,Shewed
1552,","
1553,etc
1554,....
1555,","
1556,pointed
1557,kingdom
1558,lay
1559,;
1560,set
1561,forth
1562,word
1563,glorious
1564,admirable
1565,.
1566,also
1567,set
1568,eye
1569,","
1570,large
1571,map
1572,","
1573,lively
1574,representation
1575,kingdom
1576,.
1577,4:9
1578,.
1579,said
1580,:
1581,give
1582,thee
1583,","
1584,falling
1585,thou
1586,wilt
1587,adore
1588,.
1589,4:10
1590,.
1591,Jesus
1592,saith
1593,:
1594,Begone
1595,","
1596,Satan
1597,:
1598,written
