,lemmatised_John
1739,Rabbi
1740,","
1741,thee
1742,beyond
1743,Jordan
1744,","
1745,thou
1746,gavest
1747,testimony
1748,:
1749,behold
1750,","
1751,baptizeth
1752,men
1753,come
1754,.
1755,3:27
1756,.
1757,John
1758,answered
1759,said
1760,:
1761,man
1762,receive
1763,thing
1764,","
1765,unless
1766,given
1767,heaven
1768,.
1769,3:28
1770,.
1771,bear
1772,witness
1773,said
1774,","
1775,Christ
1776,","
1777,sent
1778,.
1779,3:29
1780,.
1781,hath
1782,bride
1783,bridegroom
1784,:
1785,friend
1786,bridegroom
1787,","
1788,standeth
1789,heareth
1790,","
1791,rejoiceth
1792,joy
1793,bridegroom
1794,’
1795,voice
1796,.
1797,joy
1798,therefore
1799,fulfilled
1800,.
1801,3:30
1802,.
1803,must
1804,increase
1805,:
1806,must
1807,decrease
1808,.
1809,3:31
1810,.
1811,cometh
1812,.
1813,earth
1814,","
1815,earth
1816,","
1817,earth
1818,speaketh
1819,.
1820,cometh
1821,heaven
1822,.
1823,3:32
1824,.
1825,hath
1826,seen
1827,heard
1828,","
1829,testifieth
1830,:
1831,man
1832,receiveth
1833,testimony
1834,.
1835,3:33
1836,.
1837,hath
1838,received
1839,testimony
1840,hath
1841,set
1842,seal
1843,God
1844,true
1845,.
1846,3:34
1847,.
1848,God
1849,hath
1850,sent
1851,speaketh
1852,word
1853,God
1854,:
1855,God
1856,doth
1857,give
1858,Spirit
1859,measure
1860,.
1861,3:35
1862,.
1863,Father
1864,loveth
1865,Son
1866,:
1867,hath
1868,given
1869,thing
1870,hand
1871,.
1872,3:36
1873,.
1874,believeth
1875,Son
1876,hath
1877,life
1878,everlasting
1879,:
1880,believeth
1881,Son
1882,shall
1883,see
1884,life
1885,:
1886,wrath
1887,God
1888,abideth
1889,.
1890,John
1891,Chapter
1892,4
1893,Christ
1894,talk
1895,Samaritan
1896,woman
1897,.
1898,heals
1899,ruler
1900,’
1901,son
1902,.
1903,4:1
1904,.
1905,Jesus
1906,therefore
1907,understood
1908,Pharisees
1909,heard
1910,Jesus
1911,maketh
1912,disciple
1913,baptizeth
1914,John
1915,","
1916,4:2
1917,.
1918,(
1919,Though
1920,Jesus
1921,baptize
1922,","
1923,disciple
1924,)
1925,","
1926,4:3
1927,.
1928,left
1929,Judea
1930,went
1931,Galilee
1932,.
1933,4:4
1934,.
1935,necessity
1936,pas
1937,Samaria
1938,.
1939,4:5
1940,.
1941,cometh
1942,therefore
1943,city
1944,Samaria
1945,","
1946,called
1947,Sichar
1948,","
1949,near
1950,land
1951,Jacob
1952,gave
1953,son
1954,Joseph
1955,.
1956,4:6
1957,.
1958,Jacob
1959,’
1960,well
1961,.
1962,Jesus
1963,therefore
1964,","
1965,wearied
1966,journey
1967,","
1968,sat
1969,thus
1970,well
1971,.
1972,sixth
1973,hour
1974,.
1975,4:7
1976,.
1977,cometh
1978,woman
1979,Samaria
1980,","
1981,draw
1982,water
1983,.
1984,Jesus
1985,saith
1986,:
1987,Give
1988,drink
1989,.
1990,4:8
1991,.
1992,disciple
1993,gone
1994,city
1995,buy
1996,meat
1997,.
1998,4:9
1999,.
2000,Samaritan
2001,woman
2002,saith
2003,:
2004,dost
2005,thou
2006,","
2007,Jew
2008,;
2009,ask
2010,drink
2011,","
2012,Samaritan
2013,woman
2014,?
2015,Jews
2016,communicate
2017,Samaritans
2018,.
2019,4:10
2020,.
2021,Jesus
2022,answered
2023,said
2024,:
2025,thou
2026,didst
2027,know
2028,gift
2029,God
2030,saith
2031,thee
2032,:
2033,Give
2034,drink
2035,;
2036,thou
2037,perhaps
2038,wouldst
2039,asked
2040,","
2041,would
2042,given
2043,thee
2044,living
2045,water
2046,.
2047,4:11
2048,.
2049,woman
2050,saith
2051,:
2052,Sir
2053,","
2054,thou
2055,hast
2056,nothing
2057,wherein
2058,draw
2059,","
2060,well
2061,deep
2062,.
2063,whence
2064,hast
2065,thou
2066,living
2067,water
2068,?
2069,4:12
2070,.
2071,Art
2072,thou
2073,greater
2074,father
2075,Jacob
2076,","
2077,gave
2078,u
2079,well
2080,drank
2081,thereof
2082,","
2083,child
2084,cattle
2085,?
2086,4:13
2087,.
2088,Jesus
2089,answered
2090,said
2091,:
2092,Whosoever
2093,drinketh
2094,water
2095,shall
2096,thirst
2097,:
2098,shall
2099,drink
2100,water
2101,give
2102,shall
2103,thirst
2104,ever
2105,.
2106,4:14
2107,.
2108,water
2109,give
2110,shall
2111,become
2112,fountain
2113,water
2114,","
2115,springing
2116,life
2117,everlasting
2118,.
2119,4:15
2120,.
2121,woman
2122,said
2123,:
2124,Sir
2125,","
2126,give
2127,water
2128,","
2129,may
2130,thirst
2131,","
2132,come
2133,hither
2134,draw
2135,.
2136,4:16
2137,.
2138,Jesus
2139,saith
2140,:
2141,Go
2142,","
2143,call
2144,thy
2145,husband
2146,","
2147,come
2148,hither
2149,.
2150,4:17
2151,.
2152,woman
2153,answered
2154,said
2155,:
2156,husband
2157,.
2158,Jesus
2159,said
2160,:
2161,Thou
2162,hast
2163,said
2164,well
2165,:
2166,husband
2167,.
2168,4:18
2169,.
2170,thou
2171,hast
2172,five
2173,husband
2174,:
2175,thou
2176,hast
2177,thy
2178,husband
2179,.
2180,","
2181,thou
2182,hast
2183,said
2184,truly
2185,.
2186,4:19
2187,.
2188,woman
2189,saith
2190,:
2191,Sir
2192,","
2193,perceive
2194,thou
2195,art
2196,prophet
2197,.
2198,4:20
2199,.
2200,father
2201,adored
2202,mountain
2203,:
2204,say
2205,Jerusalem
2206,place
2207,men
2208,must
2209,adore
2210,.
2211,mountain
2212,....
2213,Garizim
2214,","
2215,Samaritans
2216,schismatical
2217,temple
2218,.
2219,4:21
2220,.
2221,Jesus
2222,saith
2223,:
2224,Woman
2225,","
2226,believe
2227,hour
2228,cometh
2229,","
2230,shall
2231,neither
2232,mountain
2233,","
2234,Jerusalem
2235,","
2236,adore
2237,Father
2238,.
2239,4:22
2240,.
2241,adore
2242,know
2243,:
2244,adore
2245,know
2246,.
2247,salvation
2248,Jews
2249,.
2250,4:23
2251,.
2252,hour
2253,cometh
2254,","
2255,true
2256,adorer
2257,shall
2258,adore
2259,Father
2260,spirit
2261,truth
2262,.
2263,Father
2264,also
2265,seeketh
2266,adore
2267,.
2268,4:24
2269,.
2270,God
2271,spirit
2272,:
2273,adore
2274,must
2275,adore
2276,spirit
2277,truth
2278,.
2279,4:25
2280,.
2281,woman
2282,saith
2283,:
2284,know
2285,Messias
2286,cometh
2287,(
2288,called
2289,Christ
2290,)
2291,:
2292,therefore
2293,","
2294,come
2295,","
2296,tell
2297,u
2298,thing
2299,.
2300,4:26
2301,.
2302,Jesus
2303,saith
2304,:
2305,","
2306,speaking
2307,thee
2308,.
2309,4:27
2310,.
2311,immediately
2312,disciple
2313,came
2314,.
2315,wondered
2316,talked
2317,woman
2318,.
2319,Yet
2320,man
2321,said
2322,:
2323,seekest
2324,thou
2325,?
2326,:
2327,talkest
2328,thou
2329,?
2330,4:28
2331,.
2332,woman
2333,therefore
2334,left
2335,waterpot
2336,went
2337,way
2338,city
2339,saith
2340,men
2341,:
2342,4:29
2343,.
2344,Come
2345,","
2346,see
2347,man
2348,told
2349,thing
2350,whatsoever
2351,done
2352,.
2353,Christ
2354,?
2355,4:30
2356,.
2357,went
2358,therefore
2359,city
2360,came
2361,unto
2362,.
2363,4:31
2364,.
2365,mean
2366,time
2367,","
2368,disciple
2369,prayed
2370,","
2371,saying
2372,:
2373,Rabbi
2374,","
2375,eat
2376,.
2377,4:32
2378,.
2379,said
2380,:
2381,meat
2382,eat
2383,know
2384,.
2385,4:33
2386,.
2387,disciple
2388,therefore
2389,said
2390,one
2391,another
2392,:
2393,Hath
2394,man
2395,brought
2396,eat
2397,?
2398,4:34
2399,.
2400,Jesus
2401,saith
2402,:
2403,meat
2404,sent
2405,","
2406,may
2407,perfect
2408,work
2409,.
2410,4:35
2411,.
2412,say
2413,:
2414,yet
2415,four
2416,month
2417,","
2418,harvest
2419,cometh
2420,?
2421,Behold
2422,","
2423,say
2424,","
2425,lift
2426,eye
2427,","
2428,see
2429,country
2430,.
2431,white
2432,already
2433,harvest
2434,.
2435,4:36
2436,.
2437,reapeth
2438,receiveth
2439,wage
2440,gathereth
2441,fruit
2442,unto
2443,life
2444,everlasting
2445,:
2446,soweth
